covariate,sd_inter,p_perm,gmin,gmax
d70_160_bs01,0.06728262545844868,0.23333333333333334,1.1193887786865235,1.2783891105651854
s160m_q34,0.06689610690794866,0.24,1.1459463844299316,1.304611919403076
s160m_q20,0.06673559435822538,0.24333333333333335,1.138930519104004,1.2738452529907227
s70m_bm03,0.06623914166243348,0.24666666666666667,1.1401972885131837,1.2840851135253906
s160m_q16,0.06609514973784278,0.25,1.1319093017578126,1.2895250053405762
s160m_bm00,0.06607916572854806,0.25,1.1036062660217285,1.2517027931213378
d70_160_q52,0.06559000713660576,0.25333333333333335,1.1215973472595215,1.2755185432434082
d70_160_q88,0.06556251948497953,0.25666666666666665,1.1259703063964843,1.2817301864624024
d70_160_bm14,0.06532874941544206,0.25666666666666665,1.1229368324279785,1.2626203384399415
s160m_q28,0.06498196123552391,0.26,1.124805393218994,1.282997875213623
s160m_min,0.06463452790252926,0.2633333333333333,1.104764144897461,1.253206485748291
d70_160_bm04,0.06431253568778095,0.26666666666666666,1.1130552406311036,1.2627891578674317
s160m_q46,0.06410255847557958,0.27,1.1548663063049316,1.3086049499511718
d70_160_max,0.06386767916714041,0.27,1.1294801864624024,1.2504953651428223
d70_160_q78,0.06380632717694705,0.2733333333333333,1.1127135734558105,1.2567771644592285
d70_160_q12,0.0634866825708883,0.28,1.1132242088317872,1.2461356964111328
s160m_q18,0.06310046108150794,0.2833333333333333,1.1489878540039062,1.2717706642150879
d70_160_q08,0.0628864460260299,0.2866666666666667,1.1291769981384276,1.2798820686340333
s160m_bs09,0.06254604976088443,0.2966666666666667,1.14893989944458,1.26358097076416
d70_160_q54,0.0618322081818362,0.30333333333333334,1.1066267700195314,1.2577383918762206
s70m_bs02,0.06182787387985821,0.30333333333333334,1.1475089569091796,1.2888299331665038
s70m_q40,0.061385510530165006,0.31,1.1681000289916992,1.3024327430725098
d70_160_q18,0.061066253180493905,0.32,1.089384910583496,1.2262237129211426
s160m_q22,0.06102253021362025,0.32,1.1466130332946778,1.2864739112854005
d70_160_bs09,0.06092286683151263,0.32,1.1012119750976563,1.2376718978881835
s160m_bm01,0.06092263954008319,0.32,1.1093794708251954,1.2440092735290527
s70m_q16,0.06052981887233597,0.32,1.1459713592529297,1.2728205413818359
s160m_bs08,0.060282268598346414,0.3233333333333333,1.1490751686096192,1.2781905250549317
d70_160_q72,0.060221882816185866,0.3233333333333333,1.0980492134094237,1.2318002281188964
s160m_bs07,0.05958660222564995,0.3433333333333333,1.1235158233642577,1.2624629554748534
s160m_q44,0.05943484536376107,0.3433333333333333,1.150801929473877,1.2919911880493165
s160m_q36,0.05926048622232901,0.3466666666666667,1.1292816619873047,1.2551289978027345
s70m_bm00,0.05902207775076575,0.35,1.1495074462890624,1.2757300071716309
s70m_bm13,0.05888406374000195,0.35,1.1040951309204101,1.241472412109375
d70_160_bm03,0.0579468268080391,0.36333333333333334,1.1315917053222657,1.24415580368042
d70_160_bs07,0.05789214196943997,0.36333333333333334,1.1532744598388671,1.2846463661193848
s160m_bs03,0.057886290325768225,0.36333333333333334,1.137653720855713,1.2700473556518554
d70_160_bm08,0.057050578646682414,0.36333333333333334,1.1086511726379396,1.2430304298400878
s160m_bm08,0.0565631317164486,0.36666666666666664,1.1523169631958008,1.286283260345459
s70m_q38,0.05547487903379176,0.39,1.1595556182861328,1.289279914855957
d70_160_bm07,0.05461520115195838,0.4,1.1142530364990235,1.2426945114135741
s160m_q24,0.054540475379899124,0.4,1.1442154693603515,1.275155735015869
s70m_bm10,0.05437422254505833,0.4033333333333333,1.1466586151123046,1.2641368942260742
d70_160_q70,0.053900605556372,0.41,1.1070686759948731,1.2266925392150878
d70_160_bs02,0.053675074901408035,0.42,1.1172370147705077,1.2479795417785644
d70_160_bm15,0.053580678331286005,0.42,1.1563545646667481,1.2673104972839355
s160m_sd,0.05344673939966284,0.42333333333333334,1.1338106269836425,1.2462231674194335
s160m_q38,0.05261682345407309,0.44,1.165931007385254,1.2649430503845216
s160m_bs12,0.05253905042819099,0.44,1.1448953170776368,1.2696569442749024
s70m_q28,0.05220355114969955,0.44333333333333336,1.1412752224113756,1.2579579162597656
s70m_bs13,0.05203906167919603,0.44666666666666666,1.1469746513366699,1.2683258209228516
s70m_q20,0.05189214061046868,0.4533333333333333,1.1568768501281739,1.2533485450744628
s160m_q30,0.0518046471548213,0.4533333333333333,1.1416498832702637,1.2668453636169434
d70_160_q80,0.05129062928466278,0.4666666666666667,1.1238305320739745,1.2443770790100097
s70m_bm15,0.051278767721340386,0.4666666666666667,1.1324169960021973,1.2491307640075684
s70m_q22,0.05113195443092848,0.47,1.1503458442687988,1.2554067993164062
d70_160_q38,0.05111154009786816,0.47,1.131376075744629,1.2378744468688965
d70_160_q30,0.051001120830053696,0.4766666666666667,1.1459667663574218,1.2649692459106445
s160m_bs13,0.0509164548256972,0.4766666666666667,1.1366948013305664,1.2600962905883788
s70m_bm06,0.05058034176662842,0.49,1.154304214477539,1.2713270874023437
d70_160_q60,0.04998260595432981,0.5066666666666667,1.1456279067993165,1.2560301704406738
s70m_bm01,0.04958194731885454,0.51,1.1309574584960937,1.2496192626953124
s160m_bm06,0.04950850758390645,0.51,1.151097110748291,1.2611366806030273
s70m_bs07,0.04934418209200751,0.5166666666666667,1.1501256637573243,1.2666804275512695
s70m_sd,0.04920287977839667,0.5166666666666667,1.1617214241027831,1.2716549949645997
s70m_q24,0.04915853877797934,0.5166666666666667,1.1601879501342773,1.2720903930664063
d70_160_q74,0.04891032457004462,0.52,1.1343388671875,1.2488068923950195
d70_160_q64,0.04881205728380274,0.5233333333333333,1.113398452758789,1.2213965606689454
d70_160_q46,0.0485034347998955,0.5266666666666666,1.1380988845825195,1.2288684921264648
d70_160_q62,0.04780083501968299,0.54,1.111119369506836,1.220890121459961
s70m_bm12,0.0467692921501674,0.57,1.152249267578125,1.2568618545532226
d70_160_q82,0.046767444054273646,0.57,1.153185474395752,1.2506598510742188
s70m_q30,0.046552925548025766,0.5733333333333334,1.1583339233398438,1.2704409065246582
s160m_q42,0.046523792809782395,0.5733333333333334,1.190062068939209,1.2899417724609374
d70_160_q50,0.04622672355124234,0.5733333333333334,1.1249075927734375,1.2376374015808105
s160m_q26,0.04578516451343946,0.58,1.147601406097412,1.247214443206787
d70_160_q44,0.045314762991605466,0.5866666666666667,1.1254061622619629,1.219588279724121
s70m_q32,0.04518108580600027,0.5866666666666667,1.1861113243103028,1.286859115600586
d70_160_q84,0.04443831787433915,0.5966666666666667,1.1484420585632324,1.2569549369812012
s70m_min,0.04375655716258423,0.6166666666666667,1.1386668090820313,1.2457380714416504
d70_160_q56,0.043487415370600795,0.6233333333333333,1.1524283103942872,1.2485151596069335
d70_160_q06,0.04205261345224662,0.6466666666666666,1.1511366500854492,1.2539208488464355
s70m_q18,0.04032891612443804,0.6833333333333333,1.1559468040466307,1.2524917068481445
d70_160_q98,0.0397187249555272,0.6966666666666667,1.146650764465332,1.2420778694152832
d70_160_bm10,0.039696514363913825,0.6966666666666667,1.1415610618591308,1.230337860107422
d70_160_bs10,0.03907845496446486,0.7,1.1454564819335937,1.2206466102600098
