"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"pc_0422",1.19597553099695,231,207.5,0,FALSE,FALSE,FALSE
"pc_0650",1.19599706864279,232,189,0.05,FALSE,FALSE,FALSE
"pc_0335",1.19600342630943,233,128.5,0,FALSE,FALSE,FALSE
"pc_0149",1.196040405735,234,177,0,FALSE,FALSE,FALSE
"pc_0874",1.19605333102135,235,357,0.05,FALSE,FALSE,FALSE
"pc_0865",1.19608066578291,236,408.5,0,FALSE,FALSE,FALSE
"pc_0081",1.19618584691768,237,196.5,0.05,FALSE,FALSE,FALSE
"pc_0603",1.19620759374891,238,591.5,0,FALSE,FALSE,FALSE
"pc_0152",1.19626589601507,239,199,0.05,FALSE,FALSE,FALSE
"pc_0032",1.19627545925974,240,714.5,0.05,FALSE,FALSE,FALSE
"pc_0708",1.19631758150288,241,315.5,0,FALSE,FALSE,FALSE
"pc_0191",1.19634511488664,242,435.5,0,FALSE,FALSE,FALSE
"pc_0412",1.19636791657934,243,104,0.05,FALSE,FALSE,FALSE
"pc_0551",1.1963924050016,244,113,0,FALSE,FALSE,FALSE
"pc_0992",1.19640565165496,245,240.5,0,FALSE,FALSE,FALSE
"pc_0133",1.19645232237541,246,467,0.05,FALSE,FALSE,FALSE
"pc_0720",1.19646028163582,247,210,0.1,FALSE,FALSE,FALSE
"pc_0878",1.19647151154173,248,376.5,0.05,FALSE,FALSE,FALSE
"pc_0685",1.1965018460763,249,271.5,0,FALSE,FALSE,FALSE
"pc_0013",1.19651552790506,250,120.5,0,FALSE,FALSE,FALSE
"pc_0647",1.19652187486005,251,624,0.05,FALSE,FALSE,FALSE
"pc_0161",1.19655190734047,252,263.5,0,FALSE,FALSE,FALSE
"pc_0388",1.19655626005545,253,84,0,FALSE,FALSE,FALSE
"pc_0465",1.19656782677753,254,363,0,FALSE,FALSE,FALSE
"pc_0769",1.19656858656468,255,376.5,0.1,FALSE,FALSE,FALSE
