"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"h12_0457",1.19608841891117,240,151,0.05,FALSE,FALSE,FALSE
"h12_0876",1.19612614417983,241,322.5,0.1,FALSE,FALSE,FALSE
"h12_0285",1.19612642977719,242,430,0,FALSE,FALSE,FALSE
"h12_0590",1.19613475659158,243,402.5,0.1,FALSE,FALSE,FALSE
"h12_0734",1.19617933108251,244,301,0,FALSE,FALSE,FALSE
"h12_0495",1.19619349835109,245,595,0,FALSE,FALSE,FALSE
"h12_0552",1.19620383427014,246,503,0,FALSE,FALSE,FALSE
"h12_0722",1.19627825677981,247,110,0.05,FALSE,FALSE,FALSE
"h12_0740",1.19629717711419,248,213,0.05,FALSE,FALSE,FALSE
"h12_0931",1.19631755519563,249,150,0,FALSE,FALSE,FALSE
"h12_0054",1.19633876105971,250,174.5,0.05,FALSE,FALSE,FALSE
"h12_0707",1.19640191259943,251,438,0,FALSE,FALSE,FALSE
"h12_0421",1.19641369155947,252,377.5,0,FALSE,FALSE,FALSE
"h12_0254",1.19645352988125,253,216.5,0,FALSE,FALSE,FALSE
"h12_1000",1.19645742477341,254,459,0.05,FALSE,FALSE,FALSE
"h12_0122",1.1964870344378,255,617,0.1,FALSE,FALSE,FALSE
"h12_0919",1.19651774924236,256,419.5,0,FALSE,FALSE,FALSE
"h12_0492",1.19654162019866,257,450.5,0,FALSE,FALSE,FALSE
"h12_0984",1.19656290853746,258,260.5,0.05,FALSE,FALSE,FALSE
"h12_0152",1.19656852476976,259,949,0,FALSE,FALSE,FALSE
"h12_0566",1.19657757386067,260,523,0,FALSE,FALSE,FALSE
"h12_0061",1.19658210099624,261,185.5,0,FALSE,FALSE,FALSE
"h12_0910",1.19660492503109,262,192.5,0,FALSE,FALSE,FALSE
"h12_0997",1.19662379761552,263,427.5,0.05,FALSE,FALSE,FALSE
"h12_0205",1.19663175558481,264,517.5,0,FALSE,FALSE,FALSE
"h12_0553",1.19663661191103,265,98,0,FALSE,FALSE,FALSE
"h12_0812",1.19665888490187,266,28,0,FALSE,FALSE,FALSE
"h12_0930",1.19666279951781,267,231.5,0.05,FALSE,FALSE,FALSE
"h12_0559",1.19667789287277,268,259,0.05,FALSE,FALSE,FALSE
"h12_0059",1.19668578941107,269,342,0,FALSE,FALSE,FALSE
"h12_0692",1.19670950856877,270,236.5,0,FALSE,FALSE,FALSE
"h12_0044",1.19673387897404,271,284.5,0.05,FALSE,FALSE,FALSE
"h12_0209",1.19674202800898,272,288.5,0,FALSE,FALSE,FALSE
"h12_1020",1.19678166232194,273,260.5,0.15,FALSE,FALSE,FALSE
"h12_0311",1.19682201970651,274,244,0.05,FALSE,FALSE,FALSE
"h12_0547",1.19685337822731,275,419.5,0,FALSE,FALSE,FALSE
"h12_0120",1.19690959282816,276,332,0,FALSE,FALSE,FALSE
"h12_0960",1.19691932338514,277,183.5,0,FALSE,FALSE,FALSE
"h12_0727",1.19693438971819,278,322.5,0,FALSE,FALSE,FALSE
"h12_0279",1.19695403546751,279,593,0,FALSE,FALSE,FALSE
"h12_1001",1.19697488028501,280,369.5,0,FALSE,FALSE,FALSE
"h12_0282",1.19698736473158,281,256,0,FALSE,FALSE,FALSE
"h12_0760",1.19700498707326,282,251,0,FALSE,FALSE,FALSE
"h12_0114",1.19703529156697,283,827.5,0,FALSE,FALSE,FALSE
"h12_0828",1.19704240877386,284,267.5,0,FALSE,FALSE,FALSE
"h12_0555",1.19704555321233,285,290.5,0.05,FALSE,FALSE,FALSE
"h12_0904",1.19708621529153,286,245,0,FALSE,FALSE,FALSE
"h12_0298",1.19709494636187,287,262,0.05,FALSE,FALSE,FALSE
"h12_0096",1.19712899897447,288,213,0,FALSE,FALSE,FALSE
"h12_0017",1.19713846248897,289,138.5,0,FALSE,FALSE,FALSE
"h12_0082",1.19714122660737,290,393.5,0,FALSE,FALSE,FALSE
"h12_0798",1.19716926807844,291,380,0.05,FALSE,FALSE,FALSE
"h12_0478",1.19729507011749,292,227.5,0,FALSE,FALSE,FALSE
"h12_0894",1.1972971431641,293,256,0,FALSE,FALSE,FALSE
"h12_0306",1.19733221468991,294,269,0,FALSE,FALSE,FALSE
"h12_0185",1.19733663978852,295,258,0.05,FALSE,FALSE,FALSE
"h12_0895",1.19733929378108,296,507.5,0,FALSE,FALSE,FALSE
"h12_0744",1.19735081186782,297,163,0.05,FALSE,FALSE,FALSE
"h12_0001",1.19735551625677,298,422,0.05,FALSE,FALSE,FALSE
"h12_1013",1.19736389962465,299,560.5,0.05,FALSE,FALSE,FALSE
"h12_0050",1.19738380248003,300,765.5,0,FALSE,FALSE,FALSE
"h12_0399",1.19738985403088,301,393.5,0.05,FALSE,FALSE,FALSE
"h12_0915",1.1973912763127,302,266,0.05,FALSE,FALSE,FALSE
"h12_0223",1.1974063438124,303,512,0.05,FALSE,FALSE,FALSE
"h12_0422",1.19743846240717,304,724,0,FALSE,FALSE,FALSE
"h12_0943",1.19744151460801,305,481,0,FALSE,FALSE,FALSE
"h12_0554",1.19744922473273,306,412,0.05,FALSE,FALSE,FALSE
"h12_0244",1.19745499432031,307,479.5,0,FALSE,FALSE,FALSE
"h12_0109",1.19753972646364,308,356.5,0.05,FALSE,FALSE,FALSE
"h12_0736",1.19755020364828,309,346,0,FALSE,FALSE,FALSE
"h12_0912",1.19755985918501,310,839.5,0,FALSE,FALSE,FALSE
"h12_0697",1.19757308424558,311,340,0,FALSE,FALSE,FALSE
"h12_0978",1.19767649781481,312,277,0,FALSE,FALSE,FALSE
"h12_0622",1.19768242398572,313,304,0.05,FALSE,FALSE,FALSE
"h12_0189",1.19769819133174,314,105,0,FALSE,FALSE,FALSE
"h12_0084",1.19770739053043,315,152.5,0,FALSE,FALSE,FALSE
"h12_0419",1.19772846579399,316,399,0,FALSE,FALSE,FALSE
"h12_0874",1.19772852704445,317,288.5,0,FALSE,FALSE,FALSE
"h12_0526",1.19776068562103,318,282,0,FALSE,FALSE,FALSE
"h12_0686",1.19777306828301,319,603,0,FALSE,FALSE,FALSE
"h12_0301",1.19777968851809,320,880.5,0,FALSE,FALSE,FALSE
"h12_0171",1.19783415309953,321,309,0.05,FALSE,FALSE,FALSE
"h12_0538",1.19784387313988,322,166,0,FALSE,FALSE,FALSE
"h12_0991",1.19784986194817,323,884,0,FALSE,FALSE,FALSE
"h12_0946",1.19785167293995,324,407,0.05,FALSE,FALSE,FALSE
"h12_0683",1.19785456270724,325,425.5,0,FALSE,FALSE,FALSE
"h12_0680",1.19785828815752,326,336,0.05,FALSE,FALSE,FALSE
"h12_0356",1.19786165129573,327,364.5,0,FALSE,FALSE,FALSE
"h12_0549",1.1978746430109,328,749.5,0.05,FALSE,FALSE,FALSE
"h12_0608",1.19788907304952,329,205.5,0,FALSE,FALSE,FALSE
"h12_0598",1.19789135716567,330,297.5,0,FALSE,FALSE,FALSE
"h12_0847",1.19790214095565,331,199,0,FALSE,FALSE,FALSE
"h12_0255",1.19792617771202,332,711.5,0,FALSE,FALSE,FALSE
"h12_0397",1.19794955087344,333,301,0,FALSE,FALSE,FALSE
"h12_0145",1.19795528995729,334,246,0.05,FALSE,FALSE,FALSE
"h12_0638",1.1979746450689,335,501,0.05,FALSE,FALSE,FALSE
"h12_0569",1.1979855321504,336,299,0.05,FALSE,FALSE,FALSE
"h12_0645",1.19801913195098,337,306.5,0,FALSE,FALSE,FALSE
"h12_0708",1.19805112952657,338,238.5,0,FALSE,FALSE,FALSE
"h12_0536",1.1980594474151,339,216.5,0,FALSE,FALSE,FALSE
"h12_0011",1.19806625974034,340,95.5,0,FALSE,FALSE,FALSE
"h12_0966",1.19807922396758,341,272,0,FALSE,FALSE,FALSE
"h12_0199",1.19808779366686,342,286.5,0.05,FALSE,FALSE,FALSE
"h12_1006",1.19812808101178,343,516,0,FALSE,FALSE,FALSE
"h12_0389",1.19813421669473,344,392,0,FALSE,FALSE,FALSE
"h12_0674",1.1981557049785,345,227.5,0,FALSE,FALSE,FALSE
"h12_0580",1.19816579227932,346,699.5,0,FALSE,FALSE,FALSE
"h12_0030",1.19820092094239,347,523,0,FALSE,FALSE,FALSE
"h12_0936",1.19824618301413,348,412,0,FALSE,FALSE,FALSE
"h12_0785",1.19826739377686,349,342,0,FALSE,FALSE,FALSE
"h12_0518",1.19828982140301,350,448.5,0,FALSE,FALSE,FALSE
"h12_0035",1.19832668838836,351,118.5,0,FALSE,FALSE,FALSE
"h12_0523",1.19834364284333,352,531,0.05,FALSE,FALSE,FALSE
"h12_0089",1.19835732602686,353,657,0.1,FALSE,FALSE,FALSE
"h12_0932",1.19839783378595,354,329.5,0,FALSE,FALSE,FALSE
"h12_0227",1.19839802595132,355,304,0,FALSE,FALSE,FALSE
"h12_0239",1.19845300379038,356,25,0.05,FALSE,FALSE,FALSE
"h12_0163",1.19846249356704,357,127.5,0,FALSE,FALSE,FALSE
"h12_0532",1.19850682948025,358,336,0,FALSE,FALSE,FALSE
"h12_0467",1.19859485085408,359,338.5,0.05,FALSE,FALSE,FALSE
"h12_0715",1.19864812039672,360,215,0,FALSE,FALSE,FALSE
"h12_0312",1.19867781495888,361,342,0.05,FALSE,FALSE,FALSE
"h12_0080",1.19867864970305,362,690,0,FALSE,FALSE,FALSE
"h12_0546",1.1986909263294,363,181,0,FALSE,FALSE,FALSE
"h12_0535",1.19870487465617,364,306.5,0.05,FALSE,FALSE,FALSE
"h12_0837",1.19870773225002,365,293.5,0,FALSE,FALSE,FALSE
"h12_0489",1.19872008724397,366,555,0,FALSE,FALSE,FALSE
