doc_id,M_128,M_256,M_512,M_1024
<urn:uuid:3e4bc31b-83f4-4deb-94a4-3340a0080665>,9.008124351501465,9.183233261108398,12.759469032287598,12.759469032287598
<urn:uuid:b9729092-0058-4313-95bb-2fec6fd93037>,13.339174270629883,13.339174270629883,13.339174270629883,13.339174270629883
<urn:uuid:70cac9b6-9afb-40e1-bde0-46372618b482>,13.84032154083252,15.464471817016602,15.464471817016602,15.464471817016602
<urn:uuid:9e2c5543-2834-44f6-b2f4-0b9eb88ca592>,13.512084007263184,13.512084007263184,13.512084007263184,13.512084007263184
<urn:uuid:bf2830b9-0396-4054-b0bc-73bb61c41d00>,11.645622253417969,11.685233116149902,13.663710594177246,13.663710594177246
<urn:uuid:1b9266d4-a35e-49f8-a4db-40f77f805c6f>,10.782495498657227,11.054869651794434,12.09603500366211,14.20106315612793
<urn:uuid:b9e0ffb1-4993-4915-98c7-4388756429de>,10.661319732666016,12.14909553527832,13.047106742858887,15.443305969238281
<urn:uuid:3550a106-8925-4dcb-9fd9-1d4dd5a4f56c>,9.965465545654297,11.772283554077148,12.18295955657959,13.28947639465332
<urn:uuid:a96794c2-a47e-4210-b6a7-568cf7e2342f>,13.381717681884766,13.381717681884766,13.381717681884766,13.381717681884766
<urn:uuid:33996d3e-0bba-4c43-9500-8664ba64a69d>,13.639814376831055,13.639814376831055,13.639814376831055,13.837093353271484
<urn:uuid:06304630-ac1c-4ef5-9109-0caa81b9123d>,10.116419792175293,13.569209098815918,13.569209098815918,13.569209098815918
<urn:uuid:fbb0b7d6-3bd3-46b8-910e-634ffc1900e9>,13.422126770019531,13.422126770019531,13.422126770019531,13.422126770019531
<urn:uuid:203094e7-16e0-4794-949e-2ab1eb77eb9d>,14.622649192810059,14.622649192810059,14.622649192810059,14.622649192810059
<urn:uuid:87c901a3-6bb0-465d-8aa9-9e88e4cc9e7c>,12.793074607849121,12.793074607849121,13.09151840209961,13.09151840209961
<urn:uuid:898f5d0f-97d4-4495-8668-b5e78026d211>,10.823511123657227,10.823511123657227,10.823511123657227,13.892200469970703
<urn:uuid:ae01550f-2a08-48e8-b742-b8081d695348>,8.15198802947998,9.326327323913574,9.387954711914062,12.450027465820312
<urn:uuid:81cf6eba-c9c2-40e5-849f-61b29a8c3178>,13.177023887634277,13.177023887634277,13.873523712158203,13.991661071777344
