doc_id,stored,fp32,fp64,ecart
<urn:uuid:475a890a-73e4-40cf-af91-1b021f22ffe6>,17.069345474243164,17.069345474243164,17.068999318045872,-0.0003461561972919469
<urn:uuid:e7586136-2f13-4b5c-b0b3-8f9df0636a7a>,17.43248748779297,17.43248748779297,17.432394592817857,-9.289497511133504e-05
<urn:uuid:2728042d-8df4-4529-8f6f-afa5737dd0e6>,16.57368278503418,16.57368278503418,16.573490639312286,-0.00019214572189341084
<urn:uuid:05ced341-1f0c-4c84-a02b-eda4e7f4e992>,19.339120864868164,19.339120864868164,19.33922189813373,0.00010103326556532011
<urn:uuid:c3f67264-6d9b-4b81-8d2a-2b072167f5c8>,16.52545738220215,16.52545738220215,16.525453619990184,-3.7622119641866902e-06
<urn:uuid:293ca421-829a-4224-ba2a-e8e7f08310b6>,18.761886596679688,18.761886596679688,18.7618826850169,-3.911662787459136e-06
<urn:uuid:a52636e5-065d-49f2-8485-7f1b8393ea69>,16.59727668762207,16.59727668762207,16.597208373641017,-6.831398105333619e-05
<urn:uuid:0777766e-f3aa-4872-a238-bb1ec6f04610>,17.656862258911133,17.656862258911133,17.65692754550076,6.528658962778877e-05
<urn:uuid:733f3ba8-3f3d-42cf-946a-9f23e516d0cf>,17.276079177856445,17.276079177856445,17.27620091056534,0.00012173270889448418
<urn:uuid:20a80818-46d5-4b47-a59c-029f02476727>,17.086095809936523,17.086095809936523,17.086061457933457,-3.4352003066118186e-05
<urn:uuid:2c159f7a-539b-486c-b78b-88d85fef6d9e>,18.12514877319336,18.12514877319336,18.12513210836202,-1.6664831338886188e-05
<urn:uuid:271d3d9c-0724-4b71-ac4b-00ab0ff92074>,16.767545700073242,16.767545700073242,16.7677174687646,0.00017176869135937523
