"model","n","p","rho","ours","yu","qsis","yu_undefined"
"M4",5000,200,0.25,0.821949999999879,2.49187500000021,7.62073124999999,0
"M4",5000,200,0.3,0.773174999999856,2.41697500000005,7.53252500000001,0
"M4",5000,200,0.4,0.779200000000083,2.47254999999982,7.23385624999999,0
"M4",5000,200,0.5,0.807099999999946,2.47085000000011,5.32295624999997,0
"M4",5000,500,0,1.142525,5.94577500000003,20.737475,0
"M4",5000,500,0.2,1.18149999999998,6.17495000000001,20.9578375,0
"M4",5000,500,0.25,1.24779999999992,6.63812500000006,20.98559375,0
"M4",5000,500,0.3,1.25790000000004,6.26740000000007,20.15253125,0
"M4",5000,500,0.4,1.25927499999998,6.49017500000016,20.069425,0
"M4",5000,500,0.5,1.23689999999999,6.10645000000004,16.00628125,0
"M4",5000,1000,0,2.50935,11.9084249999999,38.390875,0
"M4",5000,1000,0.2,2.52939999999999,11.8319,38.049975,0
"M4",5000,1000,0.25,2.4729,11.6190750000001,36.8026875,0
"M4",5000,1000,0.3,2.42165000000002,10.936375,31.734075,0
"M4",5000,1000,0.4,2.40030000000002,12.5268,37.142625,0
"M4",5000,1000,0.5,2.4943,12.6585999999999,36.954575,0
"M4",5000,2000,0,4.66947500000001,24.9673,75.5014125,0
"M4",5000,2000,0.2,4.70787500000006,25.20105,73.72246875,0
"M4",5000,2000,0.25,4.73447499999996,23.310475,67.67655,0
"M4",5000,2000,0.3,4.399825,26.1614499999999,73.96981875,0
"M4",5000,2000,0.4,4.44012500000003,26.35425,73.8259625,0
"M4",5000,2000,0.5,4.488625,24.540825,74.32394375,0
