"model","n","p","rho","rule","reps","sure4","sure10","sure20","sure30","sure50","sure100","sure20_fair"
"M2",5000,500,0.3,"qsis",40,0.2,1,1,1,1,1,1
"M2",5000,500,0.3,"union",40,0.825,1,1,1,1,1,1
"M2",5000,500,0.3,"inter",40,0.2,0.925,0.975,0.975,1,1,0.975
"M2",5000,500,0.4,"ours",40,0.975,0.975,0.975,0.975,0.975,0.975,0.975
"M2",5000,500,0.4,"qsis",40,0.2,1,1,1,1,1,1
"M2",5000,500,0.4,"union",40,0.975,1,1,1,1,1,1
"M2",5000,500,0.4,"inter",40,0.2,0.975,0.975,0.975,0.975,0.975,0.975
"M2",5000,500,0.5,"ours",40,0.975,1,1,1,1,1,1
"M2",5000,500,0.5,"qsis",40,0.4,1,1,1,1,1,1
"M2",5000,500,0.5,"union",40,0.975,1,1,1,1,1,1
"M2",5000,500,0.5,"inter",40,0.4,1,1,1,1,1,1
"M2",5000,1000,0,"ours",40,0.15,0.5,0.625,0.7,0.825,0.85,0.625
"M2",5000,1000,0,"qsis",40,0.125,1,1,1,1,1,1
"M2",5000,1000,0,"union",40,0.35,1,1,1,1,1,1
"M2",5000,1000,0,"inter",40,0.05,0.5,0.625,0.7,0.825,0.85,0.625
"M2",5000,1000,0.2,"ours",40,0.7,0.85,0.9,0.925,0.95,0.975,0.9
"M2",5000,1000,0.2,"qsis",40,0.2,1,1,1,1,1,1
"M2",5000,1000,0.2,"union",40,0.7,1,1,1,1,1,1
"M2",5000,1000,0.2,"inter",40,0.2,0.85,0.9,0.925,0.95,0.975,0.9
"M2",5000,1000,0.25,"ours",40,0.825,0.925,0.975,0.975,1,1,0.975
"M2",5000,1000,0.25,"qsis",40,0.15,1,1,1,1,1,1
"M2",5000,1000,0.25,"union",40,0.9,1,1,1,1,1,1
"M2",5000,1000,0.25,"inter",40,0.15,0.925,0.975,0.975,1,1,0.975
"M2",5000,1000,0.3,"ours",40,0.775,0.875,0.925,0.925,0.925,0.975,0.925
"M2",5000,1000,0.3,"qsis",40,0.125,1,1,1,1,1,1
"M2",5000,1000,0.3,"union",40,0.8,1,1,1,1,1,1
"M2",5000,1000,0.3,"inter",40,0.125,0.875,0.925,0.925,0.925,0.975,0.925
"M2",5000,1000,0.4,"ours",40,0.925,1,1,1,1,1,1
"M2",5000,1000,0.4,"qsis",40,0.15,1,1,1,1,1,1
