"n","rep","regle","hits10","hits20","worst"
2000,14,"Yoshida-Umezu paper",1,1,30
2000,14,"Yoshida-Umezu h=2",2,2,4
2000,14,"quantile 0.90",2,2,3
2000,14,"quantile 0.95",2,2,3
2000,14,"quantile 0.99",1,1,62
2000,15,"tail selected",1,1,26
2000,15,"tail aggregated",1,1,27
2000,15,"Yoshida-Umezu paper",1,1,63
2000,15,"Yoshida-Umezu h=2",1,1,67
2000,15,"quantile 0.90",1,2,16
2000,15,"quantile 0.95",2,2,3
2000,15,"quantile 0.99",0,1,181
2000,16,"tail selected",2,2,7
2000,16,"tail aggregated",2,2,5
2000,16,"Yoshida-Umezu paper",1,1,28
2000,16,"Yoshida-Umezu h=2",1,1,83
2000,16,"quantile 0.90",1,2,12
2000,16,"quantile 0.95",2,2,5
2000,16,"quantile 0.99",2,2,7
2000,17,"tail selected",1,2,19
2000,17,"tail aggregated",2,2,5
2000,17,"Yoshida-Umezu paper",1,1,123
2000,17,"Yoshida-Umezu h=2",1,1,26
2000,17,"quantile 0.90",2,2,8
2000,17,"quantile 0.95",2,2,3
2000,17,"quantile 0.99",1,1,23
2000,18,"tail selected",2,2,7
2000,18,"tail aggregated",2,2,3
2000,18,"Yoshida-Umezu paper",1,1,178
2000,18,"Yoshida-Umezu h=2",1,2,20
2000,18,"quantile 0.90",1,1,34
2000,18,"quantile 0.95",2,2,3
2000,18,"quantile 0.99",2,2,8
2000,19,"tail selected",1,1,28
2000,19,"tail aggregated",2,2,7
2000,19,"Yoshida-Umezu paper",1,1,179
2000,19,"Yoshida-Umezu h=2",1,1,216
2000,19,"quantile 0.90",1,1,160
2000,19,"quantile 0.95",1,1,101
2000,19,"quantile 0.99",2,2,5
2000,20,"tail selected",1,1,141
2000,20,"tail aggregated",1,1,41
2000,20,"Yoshida-Umezu paper",1,2,18
2000,20,"Yoshida-Umezu h=2",0,0,115
2000,20,"quantile 0.90",1,1,84
2000,20,"quantile 0.95",1,1,77
2000,20,"quantile 0.99",1,2,19
3000,1,"tail selected",2,2,3
3000,1,"tail aggregated",2,2,3
3000,1,"Yoshida-Umezu paper",0,0,218
3000,1,"Yoshida-Umezu h=2",2,2,3
3000,1,"quantile 0.90",2,2,3
3000,1,"quantile 0.95",2,2,3
3000,1,"quantile 0.99",1,1,23
3000,2,"tail selected",1,1,163
3000,2,"tail aggregated",1,1,202
3000,2,"Yoshida-Umezu paper",1,1,219
3000,2,"Yoshida-Umezu h=2",1,1,143
3000,2,"quantile 0.90",1,1,72
3000,2,"quantile 0.95",1,1,112
3000,2,"quantile 0.99",1,1,86
3000,3,"tail selected",2,2,8
3000,3,"tail aggregated",2,2,5
3000,3,"Yoshida-Umezu paper",1,1,179
3000,3,"Yoshida-Umezu h=2",1,1,119
3000,3,"quantile 0.90",2,2,6
3000,3,"quantile 0.95",2,2,4
3000,3,"quantile 0.99",0,1,36
3000,4,"tail selected",1,1,69
3000,4,"tail aggregated",1,1,30
3000,4,"Yoshida-Umezu paper",1,1,63
3000,4,"Yoshida-Umezu h=2",1,1,82
3000,4,"quantile 0.90",1,1,35
3000,4,"quantile 0.95",1,1,36
3000,4,"quantile 0.99",1,1,59
3000,5,"tail selected",2,2,3
3000,5,"tail aggregated",2,2,3
3000,5,"Yoshida-Umezu paper",1,1,130
3000,5,"Yoshida-Umezu h=2",2,2,3
3000,5,"quantile 0.90",2,2,7
3000,5,"quantile 0.95",2,2,3
3000,5,"quantile 0.99",2,2,2
3000,6,"tail selected",1,1,46
3000,6,"tail aggregated",1,1,99
3000,6,"Yoshida-Umezu paper",1,1,122
3000,6,"Yoshida-Umezu h=2",1,1,106
3000,6,"quantile 0.90",1,1,32
3000,6,"quantile 0.95",1,1,103
3000,6,"quantile 0.99",2,2,6
3000,7,"tail selected",2,2,5
3000,7,"tail aggregated",2,2,5
3000,7,"Yoshida-Umezu paper",2,2,3
3000,7,"Yoshida-Umezu h=2",2,2,8
3000,7,"quantile 0.90",2,2,8
3000,7,"quantile 0.95",1,1,23
3000,7,"quantile 0.99",2,2,2
3000,8,"tail selected",1,1,39
3000,8,"tail aggregated",1,1,40
3000,8,"Yoshida-Umezu paper",1,1,162
3000,8,"Yoshida-Umezu h=2",1,1,230
3000,8,"quantile 0.90",1,2,16
3000,8,"quantile 0.95",2,2,7
3000,8,"quantile 0.99",1,1,21
3000,9,"tail selected",2,2,3
3000,9,"tail aggregated",2,2,3
3000,9,"Yoshida-Umezu paper",0,0,91
3000,9,"Yoshida-Umezu h=2",2,2,2
3000,9,"quantile 0.90",2,2,3
3000,9,"quantile 0.95",2,2,4
3000,9,"quantile 0.99",2,2,3
3000,10,"tail selected",2,2,3
3000,10,"tail aggregated",2,2,3
3000,10,"Yoshida-Umezu paper",2,2,4
3000,10,"Yoshida-Umezu h=2",1,1,125
3000,10,"quantile 0.90",2,2,9
3000,10,"quantile 0.95",2,2,7
3000,10,"quantile 0.99",1,1,26
3000,11,"tail selected",2,2,3
3000,11,"tail aggregated",2,2,3
3000,11,"Yoshida-Umezu paper",1,1,193
3000,11,"Yoshida-Umezu h=2",1,1,21
3000,11,"quantile 0.90",2,2,6
3000,11,"quantile 0.95",2,2,3
3000,11,"quantile 0.99",2,2,6
3000,12,"tail selected",1,1,45
3000,12,"tail aggregated",1,1,31
3000,12,"Yoshida-Umezu paper",1,2,11
3000,12,"Yoshida-Umezu h=2",1,1,69
3000,12,"quantile 0.90",2,2,6
3000,12,"quantile 0.95",1,2,11
3000,12,"quantile 0.99",2,2,9
3000,13,"tail selected",2,2,3
3000,13,"tail aggregated",2,2,4
3000,13,"Yoshida-Umezu paper",2,2,4
3000,13,"Yoshida-Umezu h=2",1,1,85
3000,13,"quantile 0.90",2,2,3
3000,13,"quantile 0.95",2,2,5
3000,13,"quantile 0.99",1,1,29
3000,14,"tail selected",1,1,235
