"n","rep","a","alpha","two_nah","agg_worst","sel_worst","agg_hits","sel_hits","comp_worst"
5000,6,0.4,0.0331445401733999,46.1887811402644,93,165,1,1,3
5000,7,0.15,0.278711250170447,388.399804857867,6,7,2,2,4
5000,7,0.2,0.182056420302608,253.705862520481,3,3,2,2,4
5000,7,0.25,0.118920711500272,165.722700866999,3,3,2,2,4
5000,7,0.3,0.0776799609715734,108.251395177894,3,5,2,2,4
5000,7,0.35,0.0507411725040962,70.7106781186548,3,6,2,2,4
5000,7,0.4,0.0331445401733999,46.1887811402644,3,4,2,2,4
5000,8,0.15,0.278711250170447,388.399804857867,91,163,1,1,31
5000,8,0.2,0.182056420302608,253.705862520481,8,41,2,1,31
5000,8,0.25,0.118920711500272,165.722700866999,7,5,2,2,31
5000,8,0.3,0.0776799609715734,108.251395177894,7,11,2,1,31
5000,8,0.35,0.0507411725040962,70.7106781186548,10,5,2,2,31
5000,8,0.4,0.0331445401733999,46.1887811402644,3,47,2,1,31
5000,9,0.15,0.278711250170447,388.399804857867,3,3,2,2,2
5000,9,0.2,0.182056420302608,253.705862520481,3,3,2,2,2
5000,9,0.25,0.118920711500272,165.722700866999,3,3,2,2,2
5000,9,0.3,0.0776799609715734,108.251395177894,3,3,2,2,2
5000,9,0.35,0.0507411725040962,70.7106781186548,5,113,2,1,2
5000,9,0.4,0.0331445401733999,46.1887811402644,157,183,1,1,2
5000,10,0.15,0.278711250170447,388.399804857867,6,5,2,2,5
5000,10,0.2,0.182056420302608,253.705862520481,5,4,2,2,5
5000,10,0.25,0.118920711500272,165.722700866999,5,7,2,2,5
5000,10,0.3,0.0776799609715734,108.251395177894,12,9,1,2,5
5000,10,0.35,0.0507411725040962,70.7106781186548,13,112,1,1,5
5000,10,0.4,0.0331445401733999,46.1887811402644,18,50,1,1,5
5000,11,0.15,0.278711250170447,388.399804857867,5,11,2,1,3
5000,11,0.2,0.182056420302608,253.705862520481,5,4,2,2,3
5000,11,0.25,0.118920711500272,165.722700866999,4,5,2,2,3
5000,11,0.3,0.0776799609715734,108.251395177894,4,3,2,2,3
5000,11,0.35,0.0507411725040962,70.7106781186548,4,7,2,2,3
5000,11,0.4,0.0331445401733999,46.1887811402644,4,4,2,2,3
5000,12,0.15,0.278711250170447,388.399804857867,3,3,2,2,3
5000,12,0.2,0.182056420302608,253.705862520481,3,3,2,2,3
5000,12,0.25,0.118920711500272,165.722700866999,3,6,2,2,3
5000,12,0.3,0.0776799609715734,108.251395177894,7,4,2,2,3
5000,12,0.35,0.0507411725040962,70.7106781186548,4,4,2,2,3
5000,12,0.4,0.0331445401733999,46.1887811402644,4,3,2,2,3
5000,13,0.15,0.278711250170447,388.399804857867,3,10,2,2,3
5000,13,0.2,0.182056420302608,253.705862520481,3,3,2,2,3
5000,13,0.25,0.118920711500272,165.722700866999,3,3,2,2,3
5000,13,0.3,0.0776799609715734,108.251395177894,3,3,2,2,3
5000,13,0.35,0.0507411725040962,70.7106781186548,3,32,2,1,3
5000,13,0.4,0.0331445401733999,46.1887811402644,3,3,2,2,3
5000,14,0.15,0.278711250170447,388.399804857867,6,6,2,2,3
5000,14,0.2,0.182056420302608,253.705862520481,5,5,2,2,3
5000,14,0.25,0.118920711500272,165.722700866999,3,5,2,2,3
5000,14,0.3,0.0776799609715734,108.251395177894,3,3,2,2,3
5000,14,0.35,0.0507411725040962,70.7106781186548,3,4,2,2,3
5000,14,0.4,0.0331445401733999,46.1887811402644,4,5,2,2,3
5000,15,0.15,0.278711250170447,388.399804857867,10,7,2,2,4
5000,15,0.2,0.182056420302608,253.705862520481,3,9,2,2,4
5000,15,0.25,0.118920711500272,165.722700866999,3,3,2,2,4
5000,15,0.3,0.0776799609715734,108.251395177894,3,18,2,1,4
5000,15,0.35,0.0507411725040962,70.7106781186548,3,3,2,2,4
5000,15,0.4,0.0331445401733999,46.1887811402644,5,7,2,2,4
5000,16,0.15,0.278711250170447,388.399804857867,3,4,2,2,3
5000,16,0.2,0.182056420302608,253.705862520481,3,5,2,2,3
5000,16,0.25,0.118920711500272,165.722700866999,4,21,2,1,3
5000,16,0.3,0.0776799609715734,108.251395177894,17,7,1,2,3
5000,16,0.35,0.0507411725040962,70.7106781186548,18,26,1,1,3
5000,16,0.4,0.0331445401733999,46.1887811402644,64,54,1,1,3
5000,17,0.15,0.278711250170447,388.399804857867,3,3,2,2,2
5000,17,0.2,0.182056420302608,253.705862520481,3,3,2,2,2
5000,17,0.25,0.118920711500272,165.722700866999,3,3,2,2,2
5000,17,0.3,0.0776799609715734,108.251395177894,3,4,2,2,2
5000,17,0.35,0.0507411725040962,70.7106781186548,3,5,2,2,2
5000,17,0.4,0.0331445401733999,46.1887811402644,3,3,2,2,2
5000,18,0.15,0.278711250170447,388.399804857867,69,39,1,1,4
5000,18,0.2,0.182056420302608,253.705862520481,5,56,2,1,4
5000,18,0.25,0.118920711500272,165.722700866999,5,3,2,2,4
5000,18,0.3,0.0776799609715734,108.251395177894,6,56,2,1,4
5000,18,0.35,0.0507411725040962,70.7106781186548,118,121,1,1,4
5000,18,0.4,0.0331445401733999,46.1887811402644,193,220,1,1,4
5000,19,0.15,0.278711250170447,388.399804857867,6,9,2,2,3
5000,19,0.2,0.182056420302608,253.705862520481,3,3,2,2,3
5000,19,0.25,0.118920711500272,165.722700866999,3,3,2,2,3
5000,19,0.3,0.0776799609715734,108.251395177894,3,3,2,2,3
5000,19,0.35,0.0507411725040962,70.7106781186548,3,3,2,2,3
5000,19,0.4,0.0331445401733999,46.1887811402644,3,3,2,2,3
5000,20,0.15,0.278711250170447,388.399804857867,5,13,2,1,2
5000,20,0.2,0.182056420302608,253.705862520481,4,4,2,2,2
5000,20,0.25,0.118920711500272,165.722700866999,3,3,2,2,2
5000,20,0.3,0.0776799609715734,108.251395177894,3,3,2,2,2
5000,20,0.35,0.0507411725040962,70.7106781186548,3,3,2,2,2
5000,20,0.4,0.0331445401733999,46.1887811402644,3,3,2,2,2
10000,1,0.15,0.251188643150958,630.957344480193,9,10,2,2,5
10000,1,0.2,0.158489319246111,398.107170553497,11,13,1,1,5
10000,1,0.25,0.1,251.188643150958,5,10,2,2,5
10000,1,0.3,0.0630957344480193,158.489319246111,3,3,2,2,5
10000,1,0.35,0.0398107170553497,100,3,3,2,2,5
10000,1,0.4,0.0251188643150958,63.0957344480193,3,3,2,2,5
10000,2,0.15,0.251188643150958,630.957344480193,4,15,2,1,3
10000,2,0.2,0.158489319246111,398.107170553497,3,3,2,2,3
10000,2,0.25,0.1,251.188643150958,3,3,2,2,3
10000,2,0.3,0.0630957344480193,158.489319246111,3,7,2,2,3
10000,2,0.35,0.0398107170553497,100,3,4,2,2,3
10000,2,0.4,0.0251188643150958,63.0957344480193,4,3,2,2,3
10000,3,0.15,0.251188643150958,630.957344480193,5,4,2,2,5
10000,3,0.2,0.158489319246111,398.107170553497,5,4,2,2,5
10000,3,0.25,0.1,251.188643150958,3,5,2,2,5
10000,3,0.3,0.0630957344480193,158.489319246111,3,3,2,2,5
10000,3,0.35,0.0398107170553497,100,3,3,2,2,5
10000,3,0.4,0.0251188643150958,63.0957344480193,3,4,2,2,5
10000,4,0.15,0.251188643150958,630.957344480193,3,3,2,2,3
10000,4,0.2,0.158489319246111,398.107170553497,3,3,2,2,3
10000,4,0.25,0.1,251.188643150958,3,3,2,2,3
10000,4,0.3,0.0630957344480193,158.489319246111,3,3,2,2,3
10000,4,0.35,0.0398107170553497,100,3,3,2,2,3
10000,4,0.4,0.0251188643150958,63.0957344480193,3,3,2,2,3
